zonas,enderecos,precos,area,quarto
norte,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1400,50.0,1.0
norte,"Lauzane Paulista, São Paulo Zona Norte, São Paulo",2900,60.0,2.0
norte,"Avenida Edu Chaves, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1500,69.0,2.0
norte,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1550,45.0,2.0
norte,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1350,40.0,1.0
norte,"Vila Guaca, São Paulo Zona Norte, São Paulo",1300,48.0,2.0
norte,"Av. Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",5000,235.0,4.0
norte,"Jardim Centenário, São Paulo Zona Norte, São Paulo",1400,48.0,2.0
norte,"Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1500,69.0,2.0
norte,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",3000,80.0,3.0
norte,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",3000,53.0,2.0
norte,"Rua Paulo Vidigal Vicente De Azevedo, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2000,58.0,2.0
norte,"Vila Barreto, São Paulo Zona Norte, São Paulo",1800,48.0,2.0
norte,"Avenida Michihisa Murata, Jardim Maristela, São Paulo Zona Norte, São Paulo",1100,58.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1790,70.0,2.0
norte,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1200,82.0,3.0
norte,"Santana, São Paulo Zona Norte, São Paulo",4500,70.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1790,60.0,2.0
norte,"Praça Do Centenário, Casa Verde, São Paulo Zona Norte, São Paulo",1900,100.0,2.0
norte,"Santana, São Paulo Zona Norte, São Paulo",1300,50.0,1.0
norte,"Casa Verde, São Paulo Zona Norte, São Paulo",1650,60.0,2.0
norte,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1750,46.0,2.0
