zonas,areas_quartos,enderecos,precos
norte,60 m² construídos2 quartos,"Rua Jardimirim, Jardim Do Colégio (zona Norte), São Paulo Zona Norte, São Paulo",2.500
norte,60 m² construídos2 quartos,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",1.600
norte,52 m² construídos2 quartos,"Rua Aragão, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.800
norte,40 m² construídos2 quartos,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",2.000
norte,75 m² construídos3 quartos,"Rua Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",2.350
norte,40 m² construídos2 quartos,"Rua General Nestor Passos, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.900
norte,44 m² construídos1 quarto,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2.300
norte,60 m² construídos2 quartos,"Avenida Coronel Sezefredo Fagundes, Tucuruvi, São Paulo Zona Norte, São Paulo",1.250
norte,80 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,83 m² construídos3 quartos,"Rua Rubiácea, Água Fria, São Paulo Zona Norte, São Paulo",3.200
norte,40 m² construídos2 quartos,"Rua Manoel De Souza Azevedo, Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1.600
norte,80 m² construídos4 quartos,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",2.800
norte,52 m² construídos2 quartos,"Rua Cauré, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.400
norte,60 m² construídos1 quarto,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",4.000
norte,80 m² construídos4 quartos,"Vila Maria, São Paulo Zona Norte, São Paulo",2.800
norte,68 m² construídos2 quartos,"Casa Verde, São Paulo Zona Norte, São Paulo",2.300
norte,32 m² construídos1 quarto,"Rua Monte D Ouro, Tucuruvi, São Paulo Zona Norte, São Paulo",1.400
norte,60 m² construídos2 quartos,"Rua Antônio Dias Da Silva, Vila Amália, São Paulo Zona Norte, São Paulo",1.180
norte,76 m² construídos2 quartos,"Rua Aviador Gil Guilherme, Santana, São Paulo Zona Norte, São Paulo",3.500
norte,51 m² construídos2 quartos,"Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100
norte,64 m² construídos2 quartos,"Rua Do Canal, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.640
norte,80 m² construídos3 quartos,"Santa Teresinha, São Paulo Zona Norte, São Paulo",2.200
norte,50 m² construídos2 quartos,"Vila Roque, São Paulo Zona Norte, São Paulo",1.400
norte,68 m² construídos2 quartos,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.300
norte,35 m² construídos2 quartos,"Vila Mangalot, São Paulo Zona Norte, São Paulo",1.500
norte,42 m² construídos2 quartos,"Av. Nelson Palma Travassos - Jardim Pirituba, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1.500
norte,70 m² construídos2 quartos,"Praça Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.400
norte,50 m² construídos1 quarto,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.400
norte,60 m² construídos2 quartos,"Lauzane Paulista, São Paulo Zona Norte, São Paulo",2.900
norte,69 m² construídos2 quartos,"Avenida Edu Chaves, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.500
norte,45 m² construídos2 quartos,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.550
norte,40 m² construídos1 quarto,"Jardim Cidade Pirituba, São Paulo Zona Norte, São Paulo",1.350
norte,48 m² construídos2 quartos,"Vila Guaca, São Paulo Zona Norte, São Paulo",1.300
norte,235 m² construídos4 quartos,"Av. Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",5.000
norte,48 m² construídos2 quartos,"Jardim Centenário, São Paulo Zona Norte, São Paulo",1.400
norte,69 m² construídos2 quartos,"Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.500
norte,80 m² construídos3 quartos,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",3.000
norte,53 m² construídos2 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",3.000
norte,58 m² construídos2 quartos,"Rua Paulo Vidigal Vicente De Azevedo, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.000
norte,48 m² construídos2 quartos,"Vila Barreto, São Paulo Zona Norte, São Paulo",1.800
norte,58 m² construídos2 quartos,"Avenida Michihisa Murata, Jardim Maristela, São Paulo Zona Norte, São Paulo",1.100
norte,70 m² construídos2 quartos,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.790
norte,82 m² construídos3 quartos,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.200
norte,70 m² construídos2 quartos,"Santana, São Paulo Zona Norte, São Paulo",4.500
norte,60 m² construídos2 quartos,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.790
norte,100 m² construídos2 quartos,"Praça Do Centenário, Casa Verde, São Paulo Zona Norte, São Paulo",1.900
norte,50 m² construídos1 quarto,"Santana, São Paulo Zona Norte, São Paulo",1.300
norte,60 m² construídos2 quartos,"Casa Verde, São Paulo Zona Norte, São Paulo",1.650
norte,46 m² construídos2 quartos,"Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.750
norte,94 m² construídos3 quartos,"Rua Atílio Piffer, Casa Verde, São Paulo Zona Norte, São Paulo",2.500
norte,55 m² construídos2 quartos,"Sítio Do Morro, São Paulo Zona Norte, São Paulo",1.300
sul,110 m² construídos3 quartos,"Rua Peixoto Gomide, 1491, Jardim Paulista, São Paulo Zona Sul, São Paulo",6.000
sul,70 m² construídos1 quarto,"Rua João De Lacerda Soares, 133, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",2.200
sul,53 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",5.100
sul,60 m² construídos2 quartos,"Vila Independência, São Paulo Zona Sul, São Paulo",2.100
sul,40 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",2.900
sul,45 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",2.800
sul,58 m² construídos2 quartos,"Rua Maria José Da Conceição, Vila Andrade, São Paulo Zona Sul, São Paulo",1.950
